,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2591,藏紅No.7,,104~115,頂安街260巷,頂安街260巷,https://tainan.housetube.tw/27991,23.0451033,120.2113902
2592,新東皇邸16,,未提供,未提供,未提供,https://tainan.housetube.tw/27990,34.2338993,135.177091
2593,臻藏館NO.5,,65起,未提供,未提供,https://tainan.housetube.tw/27989,34.2338993,135.177091
2594,臻藏,,65~70,仁安路282號,仁安路282號,https://tainan.housetube.tw/27988,23.0519969,120.1808887
2595,柳營新天地2,,53起,成功街222巷,成功街222巷,https://tainan.housetube.tw/27971,,
2596,信美寬薪園,,52~97,育安街69號,育安街69號,https://tainan.housetube.tw/27960,23.0480681,120.2153439
2597,日東昇恆美2,,未提供,省躬三街159號,省躬三街159號,https://tainan.housetube.tw/27955,22.9297656,120.1785201
2598,雲硯6,,64起,台南市永康區永華路273巷21弄3號,台南市永康區永華路273巷21弄3號,https://tainan.housetube.tw/27948,22.818047,120.226422
2599,築夢家園7,,62~68,未提供,未提供,https://tainan.housetube.tw/27947,34.2338993,135.177091
2600,上品閤,,90起,永興路 永勝街口,永興路 永勝街口,https://tainan.housetube.tw/27946,23.625315,120.551329
2601,水舞紀,,位址:,社區,台南市永康區東橋五路91-99號,https://tainan.housetube.tw/27945,,
2602,小時光+,,位址:,社區,海中街51巷,https://tainan.housetube.tw/27944,,
2603,知築VII,,位址:,社區,崇明22街36號旁,https://tainan.housetube.tw/27943,,
